Date,id_tiempo,anio,mes
2016-09-26 00:00:00,20160926,2016,9
2016-09-27 00:00:00,20160927,2016,9
2016-09-28 00:00:00,20160928,2016,9
2016-09-29 00:00:00,20160929,2016,9
2016-09-30 00:00:00,20160930,2016,9
2016-10-01 00:00:00,20161001,2016,10
2016-10-02 00:00:00,20161002,2016,10
2016-10-03 00:00:00,20161003,2016,10
2016-10-04 00:00:00,20161004,2016,10
2016-10-05 00:00:00,20161005,2016,10
2016-10-06 00:00:00,20161006,2016,10
2016-10-07 00:00:00,20161007,2016,10
2016-10-08 00:00:00,20161008,2016,10
2016-10-09 00:00:00,20161009,2016,10
2016-10-10 00:00:00,20161010,2016,10
2016-10-11 00:00:00,20161011,2016,10
2016-10-12 00:00:00,20161012,2016,10
2016-10-13 00:00:00,20161013,2016,10
2016-10-14 00:00:00,20161014,2016,10
2016-10-15 00:00:00,20161015,2016,10
2016-10-16 00:00:00,20161016,2016,10
2016-10-17 00:00:00,20161017,2016,10
2016-10-18 00:00:00,20161018,2016,10
2016-10-19 00:00:00,20161019,2016,10
2016-10-20 00:00:00,20161020,2016,10
2016-10-21 00:00:00,20161021,2016,10
2016-10-22 00:00:00,20161022,2016,10
2016-10-23 00:00:00,20161023,2016,10
2016-10-24 00:00:00,20161024,2016,10
2016-10-25 00:00:00,20161025,2016,10
2016-10-26 00:00:00,20161026,2016,10
2016-10-27 00:00:00,20161027,2016,10
2016-10-28 00:00:00,20161028,2016,10
2016-10-29 00:00:00,20161029,2016,10
2016-10-30 00:00:00,20161030,2016,10
2016-10-31 00:00:00,20161031,2016,10
2016-11-01 00:00:00,20161101,2016,11
2016-11-02 00:00:00,20161102,2016,11
2016-11-03 00:00:00,20161103,2016,11
2016-11-04 00:00:00,20161104,2016,11
2016-11-05 00:00:00,20161105,2016,11
2016-11-06 00:00:00,20161106,2016,11
2016-11-07 00:00:00,20161107,2016,11
2016-11-08 00:00:00,20161108,2016,11
2016-11-09 00:00:00,20161109,2016,11
2016-11-10 00:00:00,20161110,2016,11
2016-11-11 00:00:00,20161111,2016,11
2016-11-12 00:00:00,20161112,2016,11
2016-11-13 00:00:00,20161113,2016,11
2016-11-14 00:00:00,20161114,2016,11
2016-11-15 00:00:00,20161115,2016,11
2016-11-16 00:00:00,20161116,2016,11
2016-11-17 00:00:00,20161117,2016,11
2016-11-18 00:00:00,20161118,2016,11
2016-11-19 00:00:00,20161119,2016,11
2016-11-20 00:00:00,20161120,2016,11
2016-11-21 00:00:00,20161121,2016,11
2016-11-22 00:00:00,20161122,2016,11
2016-11-23 00:00:00,20161123,2016,11
2016-11-24 00:00:00,20161124,2016,11
2016-11-25 00:00:00,20161125,2016,11
2016-11-26 00:00:00,20161126,2016,11
2016-11-27 00:00:00,20161127,2016,11
2016-11-28 00:00:00,20161128,2016,11
2016-11-29 00:00:00,20161129,2016,11
2016-11-30 00:00:00,20161130,2016,11
2016-12-01 00:00:00,20161201,2016,12
2016-12-02 00:00:00,20161202,2016,12
2016-12-03 00:00:00,20161203,2016,12
2016-12-04 00:00:00,20161204,2016,12
2016-12-05 00:00:00,20161205,2016,12
2016-12-06 00:00:00,20161206,2016,12
2016-12-07 00:00:00,20161207,2016,12
2016-12-08 00:00:00,20161208,2016,12
2016-12-09 00:00:00,20161209,2016,12
2016-12-10 00:00:00,20161210,2016,12
2016-12-11 00:00:00,20161211,2016,12
2016-12-12 00:00:00,20161212,2016,12
2016-12-13 00:00:00,20161213,2016,12
2016-12-14 00:00:00,20161214,2016,12
2016-12-15 00:00:00,20161215,2016,12
2016-12-16 00:00:00,20161216,2016,12
2016-12-17 00:00:00,20161217,2016,12
2016-12-18 00:00:00,20161218,2016,12
2016-12-19 00:00:00,20161219,2016,12
2016-12-20 00:00:00,20161220,2016,12
2016-12-21 00:00:00,20161221,2016,12
2016-12-22 00:00:00,20161222,2016,12
2016-12-23 00:00:00,20161223,2016,12
2016-12-24 00:00:00,20161224,2016,12
2016-12-25 00:00:00,20161225,2016,12
2016-12-26 00:00:00,20161226,2016,12
2016-12-27 00:00:00,20161227,2016,12
2016-12-28 00:00:00,20161228,2016,12
2016-12-29 00:00:00,20161229,2016,12
2016-12-30 00:00:00,20161230,2016,12
2016-12-31 00:00:00,20161231,2016,12
2017-01-01 00:00:00,20170101,2017,1
2017-01-02 00:00:00,20170102,2017,1
2017-01-03 00:00:00,20170103,2017,1
2017-01-04 00:00:00,20170104,2017,1
2017-01-05 00:00:00,20170105,2017,1
2017-01-06 00:00:00,20170106,2017,1
2017-01-07 00:00:00,20170107,2017,1
2017-01-08 00:00:00,20170108,2017,1
2017-01-09 00:00:00,20170109,2017,1
2017-01-10 00:00:00,20170110,2017,1
2017-01-11 00:00:00,20170111,2017,1
2017-01-12 00:00:00,20170112,2017,1
2017-01-13 00:00:00,20170113,2017,1
2017-01-14 00:00:00,20170114,2017,1
2017-01-15 00:00:00,20170115,2017,1
2017-01-16 00:00:00,20170116,2017,1
2017-01-17 00:00:00,20170117,2017,1
2017-01-18 00:00:00,20170118,2017,1
2017-01-19 00:00:00,20170119,2017,1
2017-01-20 00:00:00,20170120,2017,1
2017-01-21 00:00:00,20170121,2017,1
2017-01-22 00:00:00,20170122,2017,1
2017-01-23 00:00:00,20170123,2017,1
2017-01-24 00:00:00,20170124,2017,1
2017-01-25 00:00:00,20170125,2017,1
2017-01-26 00:00:00,20170126,2017,1
2017-01-27 00:00:00,20170127,2017,1
2017-01-28 00:00:00,20170128,2017,1
2017-01-29 00:00:00,20170129,2017,1
2017-01-30 00:00:00,20170130,2017,1
2017-01-31 00:00:00,20170131,2017,1
2017-02-01 00:00:00,20170201,2017,2
2017-02-02 00:00:00,20170202,2017,2
2017-02-03 00:00:00,20170203,2017,2
2017-02-04 00:00:00,20170204,2017,2
2017-02-05 00:00:00,20170205,2017,2
2017-02-06 00:00:00,20170206,2017,2
2017-02-07 00:00:00,20170207,2017,2
2017-02-08 00:00:00,20170208,2017,2
2017-02-09 00:00:00,20170209,2017,2
2017-02-10 00:00:00,20170210,2017,2
2017-02-11 00:00:00,20170211,2017,2
2017-02-12 00:00:00,20170212,2017,2
2017-02-13 00:00:00,20170213,2017,2
2017-02-14 00:00:00,20170214,2017,2
2017-02-15 00:00:00,20170215,2017,2
2017-02-16 00:00:00,20170216,2017,2
2017-02-17 00:00:00,20170217,2017,2
2017-02-18 00:00:00,20170218,2017,2
2017-02-19 00:00:00,20170219,2017,2
2017-02-20 00:00:00,20170220,2017,2
2017-02-21 00:00:00,20170221,2017,2
2017-02-22 00:00:00,20170222,2017,2
2017-02-23 00:00:00,20170223,2017,2
2017-02-24 00:00:00,20170224,2017,2
2017-02-25 00:00:00,20170225,2017,2
2017-02-26 00:00:00,20170226,2017,2
2017-02-27 00:00:00,20170227,2017,2
2017-02-28 00:00:00,20170228,2017,2
2017-03-01 00:00:00,20170301,2017,3
2017-03-02 00:00:00,20170302,2017,3
2017-03-03 00:00:00,20170303,2017,3
2017-03-04 00:00:00,20170304,2017,3
2017-03-05 00:00:00,20170305,2017,3
2017-03-06 00:00:00,20170306,2017,3
2017-03-07 00:00:00,20170307,2017,3
2017-03-08 00:00:00,20170308,2017,3
2017-03-09 00:00:00,20170309,2017,3
2017-03-10 00:00:00,20170310,2017,3
2017-03-11 00:00:00,20170311,2017,3
2017-03-12 00:00:00,20170312,2017,3
2017-03-13 00:00:00,20170313,2017,3
2017-03-14 00:00:00,20170314,2017,3
2017-03-15 00:00:00,20170315,2017,3
2017-03-16 00:00:00,20170316,2017,3
2017-03-17 00:00:00,20170317,2017,3
2017-03-18 00:00:00,20170318,2017,3
2017-03-19 00:00:00,20170319,2017,3
2017-03-20 00:00:00,20170320,2017,3
2017-03-21 00:00:00,20170321,2017,3
2017-03-22 00:00:00,20170322,2017,3
2017-03-23 00:00:00,20170323,2017,3
2017-03-24 00:00:00,20170324,2017,3
2017-03-25 00:00:00,20170325,2017,3
2017-03-26 00:00:00,20170326,2017,3
2017-03-27 00:00:00,20170327,2017,3
2017-03-28 00:00:00,20170328,2017,3
2017-03-29 00:00:00,20170329,2017,3
2017-03-30 00:00:00,20170330,2017,3
2017-03-31 00:00:00,20170331,2017,3
2017-04-01 00:00:00,20170401,2017,4
2017-04-02 00:00:00,20170402,2017,4
2017-04-03 00:00:00,20170403,2017,4
2017-04-04 00:00:00,20170404,2017,4
2017-04-05 00:00:00,20170405,2017,4
2017-04-06 00:00:00,20170406,2017,4
2017-04-07 00:00:00,20170407,2017,4
2017-04-08 00:00:00,20170408,2017,4
2017-04-09 00:00:00,20170409,2017,4
2017-04-10 00:00:00,20170410,2017,4
2017-04-11 00:00:00,20170411,2017,4
2017-04-12 00:00:00,20170412,2017,4
2017-04-13 00:00:00,20170413,2017,4
2017-04-14 00:00:00,20170414,2017,4
2017-04-15 00:00:00,20170415,2017,4
2017-04-16 00:00:00,20170416,2017,4
2017-04-17 00:00:00,20170417,2017,4
2017-04-18 00:00:00,20170418,2017,4
2017-04-19 00:00:00,20170419,2017,4
2017-04-20 00:00:00,20170420,2017,4
2017-04-21 00:00:00,20170421,2017,4
2017-04-22 00:00:00,20170422,2017,4
2017-04-23 00:00:00,20170423,2017,4
2017-04-24 00:00:00,20170424,2017,4
2017-04-25 00:00:00,20170425,2017,4
2017-04-26 00:00:00,20170426,2017,4
2017-04-27 00:00:00,20170427,2017,4
2017-04-28 00:00:00,20170428,2017,4
2017-04-29 00:00:00,20170429,2017,4
2017-04-30 00:00:00,20170430,2017,4
2017-05-01 00:00:00,20170501,2017,5
2017-05-02 00:00:00,20170502,2017,5
2017-05-03 00:00:00,20170503,2017,5
2017-05-04 00:00:00,20170504,2017,5
2017-05-05 00:00:00,20170505,2017,5
2017-05-06 00:00:00,20170506,2017,5
2017-05-07 00:00:00,20170507,2017,5
2017-05-08 00:00:00,20170508,2017,5
2017-05-09 00:00:00,20170509,2017,5
2017-05-10 00:00:00,20170510,2017,5
2017-05-11 00:00:00,20170511,2017,5
2017-05-12 00:00:00,20170512,2017,5
2017-05-13 00:00:00,20170513,2017,5
2017-05-14 00:00:00,20170514,2017,5
2017-05-15 00:00:00,20170515,2017,5
2017-05-16 00:00:00,20170516,2017,5
2017-05-17 00:00:00,20170517,2017,5
2017-05-18 00:00:00,20170518,2017,5
2017-05-19 00:00:00,20170519,2017,5
2017-05-20 00:00:00,20170520,2017,5
2017-05-21 00:00:00,20170521,2017,5
2017-05-22 00:00:00,20170522,2017,5
2017-05-23 00:00:00,20170523,2017,5
2017-05-24 00:00:00,20170524,2017,5
2017-05-25 00:00:00,20170525,2017,5
2017-05-26 00:00:00,20170526,2017,5
2017-05-27 00:00:00,20170527,2017,5
2017-05-28 00:00:00,20170528,2017,5
2017-05-29 00:00:00,20170529,2017,5
2017-05-30 00:00:00,20170530,2017,5
2017-05-31 00:00:00,20170531,2017,5
2017-06-01 00:00:00,20170601,2017,6
2017-06-02 00:00:00,20170602,2017,6
2017-06-03 00:00:00,20170603,2017,6
2017-06-04 00:00:00,20170604,2017,6
2017-06-05 00:00:00,20170605,2017,6
2017-06-06 00:00:00,20170606,2017,6
2017-06-07 00:00:00,20170607,2017,6
2017-06-08 00:00:00,20170608,2017,6
2017-06-09 00:00:00,20170609,2017,6
2017-06-10 00:00:00,20170610,2017,6
2017-06-11 00:00:00,20170611,2017,6
2017-06-12 00:00:00,20170612,2017,6
2017-06-13 00:00:00,20170613,2017,6
2017-06-14 00:00:00,20170614,2017,6
2017-06-15 00:00:00,20170615,2017,6
2017-06-16 00:00:00,20170616,2017,6
2017-06-17 00:00:00,20170617,2017,6
2017-06-18 00:00:00,20170618,2017,6
2017-06-19 00:00:00,20170619,2017,6
2017-06-20 00:00:00,20170620,2017,6
2017-06-21 00:00:00,20170621,2017,6
2017-06-22 00:00:00,20170622,2017,6
2017-06-23 00:00:00,20170623,2017,6
2017-06-24 00:00:00,20170624,2017,6
2017-06-25 00:00:00,20170625,2017,6
2017-06-26 00:00:00,20170626,2017,6
2017-06-27 00:00:00,20170627,2017,6
2017-06-28 00:00:00,20170628,2017,6
2017-06-29 00:00:00,20170629,2017,6
2017-06-30 00:00:00,20170630,2017,6
2017-07-01 00:00:00,20170701,2017,7
2017-07-02 00:00:00,20170702,2017,7
2017-07-03 00:00:00,20170703,2017,7
2017-07-04 00:00:00,20170704,2017,7
2017-07-05 00:00:00,20170705,2017,7
2017-07-06 00:00:00,20170706,2017,7
2017-07-07 00:00:00,20170707,2017,7
2017-07-08 00:00:00,20170708,2017,7
2017-07-09 00:00:00,20170709,2017,7
2017-07-10 00:00:00,20170710,2017,7
2017-07-11 00:00:00,20170711,2017,7
2017-07-12 00:00:00,20170712,2017,7
2017-07-13 00:00:00,20170713,2017,7
2017-07-14 00:00:00,20170714,2017,7
2017-07-15 00:00:00,20170715,2017,7
2017-07-16 00:00:00,20170716,2017,7
2017-07-17 00:00:00,20170717,2017,7
2017-07-18 00:00:00,20170718,2017,7
2017-07-19 00:00:00,20170719,2017,7
2017-07-20 00:00:00,20170720,2017,7
2017-07-21 00:00:00,20170721,2017,7
2017-07-22 00:00:00,20170722,2017,7
2017-07-23 00:00:00,20170723,2017,7
2017-07-24 00:00:00,20170724,2017,7
2017-07-25 00:00:00,20170725,2017,7
2017-07-26 00:00:00,20170726,2017,7
2017-07-27 00:00:00,20170727,2017,7
2017-07-28 00:00:00,20170728,2017,7
2017-07-29 00:00:00,20170729,2017,7
2017-07-30 00:00:00,20170730,2017,7
2017-07-31 00:00:00,20170731,2017,7
2017-08-01 00:00:00,20170801,2017,8
2017-08-02 00:00:00,20170802,2017,8
2017-08-03 00:00:00,20170803,2017,8
2017-08-04 00:00:00,20170804,2017,8
2017-08-05 00:00:00,20170805,2017,8
2017-08-06 00:00:00,20170806,2017,8
2017-08-07 00:00:00,20170807,2017,8
2017-08-08 00:00:00,20170808,2017,8
2017-08-09 00:00:00,20170809,2017,8
2017-08-10 00:00:00,20170810,2017,8
2017-08-11 00:00:00,20170811,2017,8
2017-08-12 00:00:00,20170812,2017,8
2017-08-13 00:00:00,20170813,2017,8
2017-08-14 00:00:00,20170814,2017,8
2017-08-15 00:00:00,20170815,2017,8
2017-08-16 00:00:00,20170816,2017,8
2017-08-17 00:00:00,20170817,2017,8
2017-08-18 00:00:00,20170818,2017,8
2017-08-19 00:00:00,20170819,2017,8
2017-08-20 00:00:00,20170820,2017,8
2017-08-21 00:00:00,20170821,2017,8
2017-08-22 00:00:00,20170822,2017,8
2017-08-23 00:00:00,20170823,2017,8
2017-08-24 00:00:00,20170824,2017,8
2017-08-25 00:00:00,20170825,2017,8
2017-08-26 00:00:00,20170826,2017,8
2017-08-27 00:00:00,20170827,2017,8
2017-08-28 00:00:00,20170828,2017,8
2017-08-29 00:00:00,20170829,2017,8
2017-08-30 00:00:00,20170830,2017,8
2017-08-31 00:00:00,20170831,2017,8
2017-09-01 00:00:00,20170901,2017,9
2017-09-02 00:00:00,20170902,2017,9
2017-09-03 00:00:00,20170903,2017,9
2017-09-04 00:00:00,20170904,2017,9
2017-09-05 00:00:00,20170905,2017,9
2017-09-06 00:00:00,20170906,2017,9
2017-09-07 00:00:00,20170907,2017,9
2017-09-08 00:00:00,20170908,2017,9
2017-09-09 00:00:00,20170909,2017,9
2017-09-10 00:00:00,20170910,2017,9
2017-09-11 00:00:00,20170911,2017,9
2017-09-12 00:00:00,20170912,2017,9
2017-09-13 00:00:00,20170913,2017,9
2017-09-14 00:00:00,20170914,2017,9
2017-09-15 00:00:00,20170915,2017,9
2017-09-16 00:00:00,20170916,2017,9
2017-09-17 00:00:00,20170917,2017,9
2017-09-18 00:00:00,20170918,2017,9
2017-09-19 00:00:00,20170919,2017,9
2017-09-20 00:00:00,20170920,2017,9
2017-09-21 00:00:00,20170921,2017,9
2017-09-22 00:00:00,20170922,2017,9
2017-09-23 00:00:00,20170923,2017,9
2017-09-24 00:00:00,20170924,2017,9
2017-09-25 00:00:00,20170925,2017,9
2017-09-26 00:00:00,20170926,2017,9
2017-09-27 00:00:00,20170927,2017,9
2017-09-28 00:00:00,20170928,2017,9
2017-09-29 00:00:00,20170929,2017,9
2017-09-30 00:00:00,20170930,2017,9
2017-10-01 00:00:00,20171001,2017,10
2017-10-02 00:00:00,20171002,2017,10
2017-10-03 00:00:00,20171003,2017,10
2017-10-04 00:00:00,20171004,2017,10
2017-10-05 00:00:00,20171005,2017,10
2017-10-06 00:00:00,20171006,2017,10
2017-10-07 00:00:00,20171007,2017,10
2017-10-08 00:00:00,20171008,2017,10
2017-10-09 00:00:00,20171009,2017,10
2017-10-10 00:00:00,20171010,2017,10
2017-10-11 00:00:00,20171011,2017,10
2017-10-12 00:00:00,20171012,2017,10
2017-10-13 00:00:00,20171013,2017,10
2017-10-14 00:00:00,20171014,2017,10
2017-10-15 00:00:00,20171015,2017,10
2017-10-16 00:00:00,20171016,2017,10
2017-10-17 00:00:00,20171017,2017,10
2017-10-18 00:00:00,20171018,2017,10
2017-10-19 00:00:00,20171019,2017,10
2017-10-20 00:00:00,20171020,2017,10
2017-10-21 00:00:00,20171021,2017,10
2017-10-22 00:00:00,20171022,2017,10
2017-10-23 00:00:00,20171023,2017,10
2017-10-24 00:00:00,20171024,2017,10
2017-10-25 00:00:00,20171025,2017,10
2017-10-26 00:00:00,20171026,2017,10
2017-10-27 00:00:00,20171027,2017,10
2017-10-28 00:00:00,20171028,2017,10
2017-10-29 00:00:00,20171029,2017,10
2017-10-30 00:00:00,20171030,2017,10
2017-10-31 00:00:00,20171031,2017,10
2017-11-01 00:00:00,20171101,2017,11
2017-11-02 00:00:00,20171102,2017,11
2017-11-03 00:00:00,20171103,2017,11
2017-11-04 00:00:00,20171104,2017,11
2017-11-05 00:00:00,20171105,2017,11
2017-11-06 00:00:00,20171106,2017,11
2017-11-07 00:00:00,20171107,2017,11
2017-11-08 00:00:00,20171108,2017,11
2017-11-09 00:00:00,20171109,2017,11
2017-11-10 00:00:00,20171110,2017,11
2017-11-11 00:00:00,20171111,2017,11
2017-11-12 00:00:00,20171112,2017,11
2017-11-13 00:00:00,20171113,2017,11
2017-11-14 00:00:00,20171114,2017,11
2017-11-15 00:00:00,20171115,2017,11
2017-11-16 00:00:00,20171116,2017,11
2017-11-17 00:00:00,20171117,2017,11
2017-11-18 00:00:00,20171118,2017,11
2017-11-19 00:00:00,20171119,2017,11
2017-11-20 00:00:00,20171120,2017,11
2017-11-21 00:00:00,20171121,2017,11
2017-11-22 00:00:00,20171122,2017,11
2017-11-23 00:00:00,20171123,2017,11
2017-11-24 00:00:00,20171124,2017,11
2017-11-25 00:00:00,20171125,2017,11
2017-11-26 00:00:00,20171126,2017,11
2017-11-27 00:00:00,20171127,2017,11
2017-11-28 00:00:00,20171128,2017,11
2017-11-29 00:00:00,20171129,2017,11
2017-11-30 00:00:00,20171130,2017,11
2017-12-01 00:00:00,20171201,2017,12
2017-12-02 00:00:00,20171202,2017,12
2017-12-03 00:00:00,20171203,2017,12
2017-12-04 00:00:00,20171204,2017,12
2017-12-05 00:00:00,20171205,2017,12
2017-12-06 00:00:00,20171206,2017,12
2017-12-07 00:00:00,20171207,2017,12
2017-12-08 00:00:00,20171208,2017,12
2017-12-09 00:00:00,20171209,2017,12
2017-12-10 00:00:00,20171210,2017,12
2017-12-11 00:00:00,20171211,2017,12
2017-12-12 00:00:00,20171212,2017,12
2017-12-13 00:00:00,20171213,2017,12
2017-12-14 00:00:00,20171214,2017,12
2017-12-15 00:00:00,20171215,2017,12
2017-12-16 00:00:00,20171216,2017,12
2017-12-17 00:00:00,20171217,2017,12
2017-12-18 00:00:00,20171218,2017,12
2017-12-19 00:00:00,20171219,2017,12
2017-12-20 00:00:00,20171220,2017,12
2017-12-21 00:00:00,20171221,2017,12
2017-12-22 00:00:00,20171222,2017,12
2017-12-23 00:00:00,20171223,2017,12
2017-12-24 00:00:00,20171224,2017,12
2017-12-25 00:00:00,20171225,2017,12
2017-12-26 00:00:00,20171226,2017,12
2017-12-27 00:00:00,20171227,2017,12
2017-12-28 00:00:00,20171228,2017,12
2017-12-29 00:00:00,20171229,2017,12
2017-12-30 00:00:00,20171230,2017,12
2017-12-31 00:00:00,20171231,2017,12
2018-01-01 00:00:00,20180101,2018,1
2018-01-02 00:00:00,20180102,2018,1
2018-01-03 00:00:00,20180103,2018,1
2018-01-04 00:00:00,20180104,2018,1
2018-01-05 00:00:00,20180105,2018,1
2018-01-06 00:00:00,20180106,2018,1
2018-01-07 00:00:00,20180107,2018,1
2018-01-08 00:00:00,20180108,2018,1
2018-01-09 00:00:00,20180109,2018,1
2018-01-10 00:00:00,20180110,2018,1
2018-01-11 00:00:00,20180111,2018,1
2018-01-12 00:00:00,20180112,2018,1
2018-01-13 00:00:00,20180113,2018,1
2018-01-14 00:00:00,20180114,2018,1
2018-01-15 00:00:00,20180115,2018,1
2018-01-16 00:00:00,20180116,2018,1
2018-01-17 00:00:00,20180117,2018,1
2018-01-18 00:00:00,20180118,2018,1
2018-01-19 00:00:00,20180119,2018,1
2018-01-20 00:00:00,20180120,2018,1
2018-01-21 00:00:00,20180121,2018,1
2018-01-22 00:00:00,20180122,2018,1
2018-01-23 00:00:00,20180123,2018,1
2018-01-24 00:00:00,20180124,2018,1
2018-01-25 00:00:00,20180125,2018,1
2018-01-26 00:00:00,20180126,2018,1
2018-01-27 00:00:00,20180127,2018,1
2018-01-28 00:00:00,20180128,2018,1
2018-01-29 00:00:00,20180129,2018,1
2018-01-30 00:00:00,20180130,2018,1
2018-01-31 00:00:00,20180131,2018,1
2018-02-01 00:00:00,20180201,2018,2
2018-02-02 00:00:00,20180202,2018,2
2018-02-03 00:00:00,20180203,2018,2
2018-02-04 00:00:00,20180204,2018,2
2018-02-05 00:00:00,20180205,2018,2
2018-02-06 00:00:00,20180206,2018,2
2018-02-07 00:00:00,20180207,2018,2
2018-02-08 00:00:00,20180208,2018,2
2018-02-09 00:00:00,20180209,2018,2
2018-02-10 00:00:00,20180210,2018,2
2018-02-11 00:00:00,20180211,2018,2
2018-02-12 00:00:00,20180212,2018,2
2018-02-13 00:00:00,20180213,2018,2
2018-02-14 00:00:00,20180214,2018,2
2018-02-15 00:00:00,20180215,2018,2
2018-02-16 00:00:00,20180216,2018,2
2018-02-17 00:00:00,20180217,2018,2
2018-02-18 00:00:00,20180218,2018,2
2018-02-19 00:00:00,20180219,2018,2
2018-02-20 00:00:00,20180220,2018,2
2018-02-21 00:00:00,20180221,2018,2
2018-02-22 00:00:00,20180222,2018,2
2018-02-23 00:00:00,20180223,2018,2
2018-02-24 00:00:00,20180224,2018,2
2018-02-25 00:00:00,20180225,2018,2
2018-02-26 00:00:00,20180226,2018,2
2018-02-27 00:00:00,20180227,2018,2
2018-02-28 00:00:00,20180228,2018,2
2018-03-01 00:00:00,20180301,2018,3
2018-03-02 00:00:00,20180302,2018,3
2018-03-03 00:00:00,20180303,2018,3
2018-03-04 00:00:00,20180304,2018,3
2018-03-05 00:00:00,20180305,2018,3
2018-03-06 00:00:00,20180306,2018,3
2018-03-07 00:00:00,20180307,2018,3
2018-03-08 00:00:00,20180308,2018,3
2018-03-09 00:00:00,20180309,2018,3
2018-03-10 00:00:00,20180310,2018,3
2018-03-11 00:00:00,20180311,2018,3
2018-03-12 00:00:00,20180312,2018,3
2018-03-13 00:00:00,20180313,2018,3
2018-03-14 00:00:00,20180314,2018,3
2018-03-15 00:00:00,20180315,2018,3
2018-03-16 00:00:00,20180316,2018,3
2018-03-17 00:00:00,20180317,2018,3
2018-03-18 00:00:00,20180318,2018,3
2018-03-19 00:00:00,20180319,2018,3
2018-03-20 00:00:00,20180320,2018,3
2018-03-21 00:00:00,20180321,2018,3
2018-03-22 00:00:00,20180322,2018,3
2018-03-23 00:00:00,20180323,2018,3
2018-03-24 00:00:00,20180324,2018,3
2018-03-25 00:00:00,20180325,2018,3
2018-03-26 00:00:00,20180326,2018,3
2018-03-27 00:00:00,20180327,2018,3
2018-03-28 00:00:00,20180328,2018,3
2018-03-29 00:00:00,20180329,2018,3
2018-03-30 00:00:00,20180330,2018,3
2018-03-31 00:00:00,20180331,2018,3
2018-04-01 00:00:00,20180401,2018,4
2018-04-02 00:00:00,20180402,2018,4
2018-04-03 00:00:00,20180403,2018,4
2018-04-04 00:00:00,20180404,2018,4
2018-04-05 00:00:00,20180405,2018,4
2018-04-06 00:00:00,20180406,2018,4
2018-04-07 00:00:00,20180407,2018,4
2018-04-08 00:00:00,20180408,2018,4
2018-04-09 00:00:00,20180409,2018,4
2018-04-10 00:00:00,20180410,2018,4
2018-04-11 00:00:00,20180411,2018,4
2018-04-12 00:00:00,20180412,2018,4
2018-04-13 00:00:00,20180413,2018,4
2018-04-14 00:00:00,20180414,2018,4
2018-04-15 00:00:00,20180415,2018,4
2018-04-16 00:00:00,20180416,2018,4
2018-04-17 00:00:00,20180417,2018,4
2018-04-18 00:00:00,20180418,2018,4
2018-04-19 00:00:00,20180419,2018,4
2018-04-20 00:00:00,20180420,2018,4
2018-04-21 00:00:00,20180421,2018,4
2018-04-22 00:00:00,20180422,2018,4
2018-04-23 00:00:00,20180423,2018,4
2018-04-24 00:00:00,20180424,2018,4
2018-04-25 00:00:00,20180425,2018,4
2018-04-26 00:00:00,20180426,2018,4
2018-04-27 00:00:00,20180427,2018,4
2018-04-28 00:00:00,20180428,2018,4
2018-04-29 00:00:00,20180429,2018,4
2018-04-30 00:00:00,20180430,2018,4
2018-05-01 00:00:00,20180501,2018,5
2018-05-02 00:00:00,20180502,2018,5
2018-05-03 00:00:00,20180503,2018,5
2018-05-04 00:00:00,20180504,2018,5
2018-05-05 00:00:00,20180505,2018,5
2018-05-06 00:00:00,20180506,2018,5
2018-05-07 00:00:00,20180507,2018,5
2018-05-08 00:00:00,20180508,2018,5
2018-05-09 00:00:00,20180509,2018,5
2018-05-10 00:00:00,20180510,2018,5
2018-05-11 00:00:00,20180511,2018,5
2018-05-12 00:00:00,20180512,2018,5
2018-05-13 00:00:00,20180513,2018,5
2018-05-14 00:00:00,20180514,2018,5
2018-05-15 00:00:00,20180515,2018,5
2018-05-16 00:00:00,20180516,2018,5
2018-05-17 00:00:00,20180517,2018,5
2018-05-18 00:00:00,20180518,2018,5
2018-05-19 00:00:00,20180519,2018,5
2018-05-20 00:00:00,20180520,2018,5
2018-05-21 00:00:00,20180521,2018,5
2018-05-22 00:00:00,20180522,2018,5
2018-05-23 00:00:00,20180523,2018,5
2018-05-24 00:00:00,20180524,2018,5
2018-05-25 00:00:00,20180525,2018,5
2018-05-26 00:00:00,20180526,2018,5
2018-05-27 00:00:00,20180527,2018,5
2018-05-28 00:00:00,20180528,2018,5
2018-05-29 00:00:00,20180529,2018,5
2018-05-30 00:00:00,20180530,2018,5
2018-05-31 00:00:00,20180531,2018,5
2018-06-01 00:00:00,20180601,2018,6
2018-06-02 00:00:00,20180602,2018,6
2018-06-03 00:00:00,20180603,2018,6
2018-06-04 00:00:00,20180604,2018,6
2018-06-05 00:00:00,20180605,2018,6
2018-06-06 00:00:00,20180606,2018,6
2018-06-07 00:00:00,20180607,2018,6
2018-06-08 00:00:00,20180608,2018,6
2018-06-09 00:00:00,20180609,2018,6
2018-06-10 00:00:00,20180610,2018,6
2018-06-11 00:00:00,20180611,2018,6
2018-06-12 00:00:00,20180612,2018,6
2018-06-13 00:00:00,20180613,2018,6
2018-06-14 00:00:00,20180614,2018,6
2018-06-15 00:00:00,20180615,2018,6
2018-06-16 00:00:00,20180616,2018,6
2018-06-17 00:00:00,20180617,2018,6
2018-06-18 00:00:00,20180618,2018,6
2018-06-19 00:00:00,20180619,2018,6
2018-06-20 00:00:00,20180620,2018,6
2018-06-21 00:00:00,20180621,2018,6
2018-06-22 00:00:00,20180622,2018,6
